отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
uni0232              | 562   | 0.803       | 0.500      | 0.281   | 0.047       
uni0233              | 563   | 0.883       | 0.500      | 0.344   | 0.039       
dotlessj             | 567   | 0.715       | 0.500      | 0.211   | 0.031       
uni0254              | 596   | 0.668       | 0.500      | 0.188   | 0.023       
uni0258              | 600   | 0.718       | 0.500      | 0.227   | 0.031       
schwa                | 601   | 0.718       | 0.500      | 0.227   | 0.031       
uni025B              | 603   | 0.688       | 0.500      | 0.203   | 0.008       
uni0272              | 626   | 0.837       | 0.500      | 0.281   | 0.125       
ezh                  | 658   | 0.801       | 0.500      | 0.266   | 0.148       
commaturnedmod       | 699   | 0.424       | 0.500      | 0.047   | 0.016       
afii57929            | 700   | 0.424       | 0.500      | 0.047   | 0.016       
afii64937            | 701   | 0.424       | 0.500      | 0.047   | 0.031       
circumflex           | 710   | 0.436       | 0.500      | 0.055   | 0.023       
caron                | 711   | 0.436       | 0.500      | 0.055   | 0.023       
breve                | 728   | 0.436       | 0.500      | 0.055   | 0.023       
dotaccent            | 729   | 0.396       | 0.500      | 0.031   | 0.016       
ogonek               | 731   | 0.439       | 0.500      | 0.055   | 0.055       
tilde                | 732   | 0.472       | 0.500      | 0.078   | 0.031       
hungarumlaut         | 733   | 0.449       | 0.500      | 0.062   | 0.023       
gravecomb            | 768   | 0.400       | 0.500      | 0.031   | 0.016       
acutecomb            | 769   | 0.400       | 0.500      | 0.031   | 0.016       
