отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
Zeta                 | 918   | 0.761       | 0.500      | 0.234   | 0.125       
Eta                  | 919   | 0.891       | 0.500      | 0.336   | 0.039       
Theta                | 920   | 0.885       | 0.500      | 0.344   | 0.016       
Iota                 | 921   | 0.654       | 0.500      | 0.188   | 0.008       
Kappa                | 922   | 0.861       | 0.500      | 0.312   | 0.031       
Lambda               | 923   | 0.837       | 0.500      | 0.281   | 0.031       
Mu                   | 924   | 0.913       | 0.500      | 0.359   | 0.125       
Nu                   | 925   | 0.897       | 0.500      | 0.359   | 0.031       
Xi                   | 926   | 0.429       | 0.500      | 0.148   | 0.125       
Omicron              | 927   | 0.881       | 0.500      | 0.328   | 0.016       
Pi                   | 928   | 0.891       | 0.500      | 0.336   | 0.023       
Rho                  | 929   | 0.821       | 0.500      | 0.281   | 0.062       
Sigma                | 931   | 0.761       | 0.500      | 0.234   | 0.109       
Tau                  | 932   | 0.736       | 0.500      | 0.203   | 0.031       
Upsilon              | 933   | 0.776       | 0.500      | 0.234   | 0.031       
Phi                  | 934   | 0.853       | 0.500      | 0.406   | 0.109       
Chi                  | 935   | 0.841       | 0.500      | 0.297   | 0.141       
Psi                  | 936   | 0.853       | 0.500      | 0.406   | 0.102       
Omega                | 937   | 0.891       | 0.500      | 0.336   | 0.031       
Iotadieresis         | 938   | 0.671       | 0.500      | 0.234   | 0.047       
Upsilondieresis      | 939   | 0.784       | 0.500      | 0.281   | 0.047       
alphatonos           | 940   | 0.820       | 0.500      | 0.297   | 0.031       
epsilontonos         | 941   | 0.714       | 0.500      | 0.234   | 0.031       
etatonos             | 942   | 0.859       | 0.500      | 0.312   | 0.031       
iotatonos            | 943   | 0.559       | 0.500      | 0.156   | 0.031       
upsilondieresistonos | 944   | 0.777       | 0.500      | 0.289   | 0.039       
alpha                | 945   | 0.779       | 0.500      | 0.266   | 0.031       
beta                 | 946   | 0.900       | 0.500      | 0.383   | 0.047       
gamma                | 947   | 0.796       | 0.500      | 0.250   | 0.031       
delta                | 948   | 0.861       | 0.500      | 0.312   | 0.031       
epsilon              | 949   | 0.688       | 0.500      | 0.203   | 0.008       
zeta                 | 950   | 0.834       | 0.500      | 0.266   | 0.125       
eta                  | 951   | 0.821       | 0.500      | 0.281   | 0.023       
theta                | 952   | 0.866       | 0.500      | 0.328   | 0.094       
iota                 | 953   | 0.565       | 0.500      | 0.125   | 0.031       
kappa                | 954   | 0.708       | 0.500      | 0.219   | 0.031       
lambda               | 955   | 0.796       | 0.500      | 0.250   | 0.125       
mugreek              | 956   | 0.831       | 0.500      | 0.289   | 0.055       
nu                   | 957   | 0.688       | 0.500      | 0.203   | 0.125       
xi                   | 958   | 0.854       | 0.500      | 0.281   | 0.078       
omicron              | 959   | 0.728       | 0.500      | 0.234   | 0.023       
pi                   | 960   | 0.738       | 0.500      | 0.242   | 0.008       
rho                  | 961   | 0.831       | 0.500      | 0.289   | 0.008       
sigma1               | 962   | 0.741       | 0.500      | 0.219   | 0.062       
sigma                | 963   | 0.728       | 0.500      | 0.234   | 0.055       
tau                  | 964   | 0.648       | 0.500      | 0.164   | 0.023       
upsilon              | 965   | 0.718       | 0.500      | 0.227   | 0.008       
phi                  | 966   | 0.913       | 0.500      | 0.359   | 0.031       
chi                  | 967   | 0.841       | 0.500      | 0.297   | 0.172       
psi                  | 968   | 0.893       | 0.500      | 0.375   | 0.031       
omega                | 969   | 0.819       | 0.500      | 0.297   | 0.031       
iotadieresis         | 970   | 0.568       | 0.500      | 0.188   | 0.031       
upsilondieresis      | 971   | 0.755       | 0.500      | 0.289   | 0.008       
omicrontonos         | 972   | 0.760       | 0.500      | 0.266   | 0.031       
upsilontonos         | 973   | 0.748       | 0.500      | 0.258   | 0.008       
omegatonos           | 974   | 0.864       | 0.500      | 0.328   | 0.031       
uni03F3              | 1011  | 0.738       | 0.500      | 0.242   | 0.031       
uni03F4              | 1012  | 0.907       | 0.500      | 0.352   | 0.016       
uni0400              | 1024  | 0.793       | 0.500      | 0.273   | 0.016       
afii10023            | 1025  | 0.801       | 0.500      | 0.305   | 0.023       
afii10051            | 1026  | 0.867       | 0.500      | 0.305   | 0.016       
afii10052            | 1027  | 0.701       | 0.500      | 0.211   | 0.062       
afii10053            | 1028  | 0.791       | 0.500      | 0.258   | 0.039       
afii10054            | 1029  | 0.811       | 0.500      | 0.273   | 0.047       
afii10055            | 1030  | 0.654       | 0.500      | 0.188   | 0.008       
afii10056            | 1031  | 0.671       | 0.500      | 0.234   | 0.047       
afii10057            | 1032  | 0.741       | 0.500      | 0.219   | 0.102       
afii10058            | 1033  | 0.853       | 0.500      | 0.406   | 0.055       
afii10059            | 1034  | 0.823       | 0.500      | 0.430   | 0.055       
afii10060            | 1035  | 0.867       | 0.500      | 0.305   | 0.016       
afii10061            | 1036  | 0.923       | 0.500      | 0.344   | 0.031       
uni040D              | 1037  | 0.879       | 0.500      | 0.391   | 0.031       
afii10062            | 1038  | 0.923       | 0.500      | 0.344   | 0.031       
afii10145            | 1039  | 0.889       | 0.500      | 0.383   | 0.055       
afii10017            | 1040  | 0.901       | 0.500      | 0.344   | 0.031       
afii10018            | 1041  | 0.881       | 0.500      | 0.328   | 0.008       
afii10019            | 1042  | 0.897       | 0.500      | 0.359   | 0.023       
afii10020            | 1043  | 0.710       | 0.500      | 0.195   | 0.023       
afii10021            | 1044  | 0.895       | 0.500      | 0.383   | 0.086       
afii10022            | 1045  | 0.791       | 0.500      | 0.258   | 0.031       
afii10024            | 1046  | 0.792       | 0.500      | 0.453   | 0.133       
afii10025            | 1047  | 0.821       | 0.500      | 0.281   | 0.031       
afii10026            | 1048  | 0.897       | 0.500      | 0.359   | 0.031       
afii10027            | 1049  | 0.849       | 0.500      | 0.414   | 0.031       
afii10028            | 1050  | 0.861       | 0.500      | 0.312   | 0.031       
afii10029            | 1051  | 0.861       | 0.500      | 0.312   | 0.086       
afii10030            | 1052  | 0.913       | 0.500      | 0.359   | 0.125       
afii10031            | 1053  | 0.891       | 0.500      | 0.336   | 0.039       
afii10032            | 1054  | 0.881       | 0.500      | 0.328   | 0.016       
afii10033            | 1055  | 0.891       | 0.500      | 0.336   | 0.023       
afii10034            | 1056  | 0.821       | 0.500      | 0.281   | 0.062       
afii10035            | 1057  | 0.801       | 0.500      | 0.266   | 0.031       
afii10036            | 1058  | 0.736       | 0.500      | 0.203   | 0.031       
afii10037            | 1059  | 0.831       | 0.500      | 0.289   | 0.039       
afii10038            | 1060  | 0.757       | 0.500      | 0.500   | 0.070       
afii10039            | 1061  | 0.841       | 0.500      | 0.297   | 0.141       
afii10040            | 1062  | 0.928       | 0.500      | 0.367   | 0.055       
afii10041            | 1063  | 0.801       | 0.500      | 0.266   | 0.031       
afii10042            | 1064  | 0.762       | 0.500      | 0.477   | 0.062       
afii10043            | 1065  | 0.838       | 0.500      | 0.438   | 0.070       
afii10044            | 1066  | 0.831       | 0.500      | 0.289   | 0.008       
afii10045            | 1067  | 0.703       | 0.500      | 0.422   | 0.086       
afii10046            | 1068  | 0.805       | 0.500      | 0.281   | 0.008       
afii10047            | 1069  | 0.791       | 0.500      | 0.258   | 0.039       
afii10048            | 1070  | 0.782       | 0.500      | 0.461   | 0.062       
afii10049            | 1071  | 0.901       | 0.500      | 0.344   | 0.094       
afii10065            | 1072  | 0.738       | 0.500      | 0.242   | 0.031       
afii10066            | 1073  | 0.871       | 0.500      | 0.320   | 0.008       
afii10067            | 1074  | 0.891       | 0.500      | 0.336   | 0.016       
afii10068            | 1075  | 0.617       | 0.500      | 0.148   | 0.031       
afii10069            | 1076  | 0.871       | 0.500      | 0.320   | 0.031       
afii10070            | 1077  | 0.718       | 0.500      | 0.227   | 0.031       
afii10072            | 1078  | 0.839       | 0.500      | 0.312   | 0.062       
afii10073            | 1079  | 0.688       | 0.500      | 0.203   | 0.008       
afii10074            | 1080  | 0.728       | 0.500      | 0.234   | 0.008       
afii10075            | 1081  | 0.765       | 0.500      | 0.289   | 0.023       
afii10076            | 1082  | 0.708       | 0.500      | 0.219   | 0.031       
afii10077            | 1083  | 0.718       | 0.500      | 0.227   | 0.055       
afii10078            | 1084  | 0.799       | 0.500      | 0.281   | 0.078       
afii10079            | 1085  | 0.738       | 0.500      | 0.242   | 0.039       
afii10080            | 1086  | 0.728       | 0.500      | 0.234   | 0.023       
afii10081            | 1087  | 0.738       | 0.500      | 0.242   | 0.008       
afii10082            | 1088  | 0.841       | 0.500      | 0.297   | 0.008       
afii10083            | 1089  | 0.668       | 0.500      | 0.188   | 0.023       
afii10084            | 1090  | 0.638       | 0.500      | 0.156   | 0.023       
afii10085            | 1091  | 0.851       | 0.500      | 0.305   | 0.031       
afii10086            | 1092  | 0.900       | 0.500      | 0.359   | 0.062       
afii10087            | 1093  | 0.698       | 0.500      | 0.211   | 0.039       
afii10088            | 1094  | 0.814       | 0.500      | 0.273   | 0.039       
afii10089            | 1095  | 0.668       | 0.500      | 0.188   | 0.023       
afii10090            | 1096  | 0.869       | 0.500      | 0.336   | 0.039       
afii10091            | 1097  | 0.874       | 0.500      | 0.320   | 0.047       
afii10092            | 1098  | 0.698       | 0.500      | 0.211   | 0.008       
afii10093            | 1099  | 0.690       | 0.500      | 0.297   | 0.047       
afii10094            | 1100  | 0.677       | 0.500      | 0.203   | 0.008       
afii10095            | 1101  | 0.698       | 0.500      | 0.211   | 0.008       
afii10096            | 1102  | 0.849       | 0.500      | 0.320   | 0.047       
afii10097            | 1103  | 0.748       | 0.500      | 0.250   | 0.070       
uni0450              | 1104  | 0.748       | 0.500      | 0.258   | 0.016       
afii10071            | 1105  | 0.755       | 0.500      | 0.289   | 0.023       
afii10099            | 1106  | 0.940       | 0.500      | 0.367   | 0.055       
afii10100            | 1107  | 0.630       | 0.500      | 0.180   | 0.031       
afii10101            | 1108  | 0.698       | 0.500      | 0.211   | 0.008       
afii10102            | 1109  | 0.678       | 0.500      | 0.195   | 0.031       
afii10103            | 1110  | 0.557       | 0.500      | 0.164   | 0.016       
afii10104            | 1111  | 0.567       | 0.500      | 0.195   | 0.023       
afii10105            | 1112  | 0.738       | 0.500      | 0.242   | 0.031       
afii10106            | 1113  | 0.809       | 0.500      | 0.289   | 0.031       
afii10107            | 1114  | 0.829       | 0.500      | 0.305   | 0.031       
afii10108            | 1115  | 0.877       | 0.500      | 0.312   | 0.055       
afii10109            | 1116  | 0.737       | 0.500      | 0.250   | 0.031       
uni045D              | 1117  | 0.760       | 0.500      | 0.266   | 0.031       
afii10110            | 1118  | 0.877       | 0.500      | 0.359   | 0.023       
afii10193            | 1119  | 0.820       | 0.500      | 0.289   | 0.055       
afii10050            | 1168  | 0.773       | 0.500      | 0.227   | 0.031       
afii10098            | 1169  | 0.679       | 0.500      | 0.180   | 0.031       
uni0492              | 1170  | 0.766       | 0.500      | 0.227   | 0.109       
uni0493              | 1171  | 0.669       | 0.500      | 0.180   | 0.117       
uni0494              | 1172  | 0.893       | 0.500      | 0.320   | 0.109       
uni0495              | 1173  | 0.770       | 0.500      | 0.250   | 0.094       
uni0496              | 1174  | 0.868       | 0.500      | 0.414   | 0.133       
uni0497              | 1175  | 0.844       | 0.500      | 0.297   | 0.047       
uni0498              | 1176  | 0.914       | 0.500      | 0.328   | 0.047       
uni0499              | 1177  | 0.781       | 0.500      | 0.250   | 0.047       
uni049A              | 1178  | 0.948       | 0.500      | 0.352   | 0.070       
uni049B              | 1179  | 0.794       | 0.500      | 0.258   | 0.039       
uni049C              | 1180  | 0.897       | 0.500      | 0.359   | 0.078       
uni049D              | 1181  | 0.758       | 0.500      | 0.258   | 0.070       
uni04A0              | 1184  | 0.897       | 0.500      | 0.328   | 0.156       
uni04A1              | 1185  | 0.729       | 0.500      | 0.227   | 0.094       
uni04A2              | 1186  | 0.918       | 0.500      | 0.375   | 0.055       
uni04A3              | 1187  | 0.824       | 0.500      | 0.281   | 0.039       
uni04A4              | 1188  | 0.917       | 0.500      | 0.344   | 0.055       
uni04A5              | 1189  | 0.759       | 0.500      | 0.250   | 0.078       
uni04AA              | 1194  | 0.894       | 0.500      | 0.312   | 0.016       
uni04AB              | 1195  | 0.761       | 0.500      | 0.234   | 0.016       
uni04AE              | 1198  | 0.776       | 0.500      | 0.234   | 0.031       
uni04AF              | 1199  | 0.796       | 0.500      | 0.250   | 0.031       
uni04B0              | 1200  | 0.817       | 0.500      | 0.266   | 0.031       
uni04B1              | 1201  | 0.837       | 0.500      | 0.281   | 0.031       
uni04B2              | 1202  | 0.932       | 0.500      | 0.336   | 0.141       
uni04B3              | 1203  | 0.784       | 0.500      | 0.250   | 0.039       
